
"Rank","Name","Symbol","revenue_ttm","price (USD)","country"
"421","Capacit'e Infraprojects","CAPACITE.NS","178616278","1.42","India"
"422","PVR Cinemas","PVR.NS","177532884","23.29","India"
"423","Ebixcash India","EBIXFOREX.NS","174505904","7.31","India"
"424","Infibeam Avenues","INFIBEAM.NS","173045716","0.17","India"
"425","VIP Industries","VIPIND.NS","172486620","7.98","India"
"426","Cigniti Technologies","CIGNITITEC.NS","166116644","5.71","India"
"427","Mahanagar Telephone Nigam","MTNL.NS","165514772","0.24","India"
"428","HBL Power Systems","HBLPOWER.NS","165278053","1.17","India"
"429","Excel Industries","EXCELINDUS.NS","157473074","15.65","India"
"430","Aavas Financiers","AAVAS.NS","157216148","26.05","India"
"431","MM Forgings","MMFL.NS","152356260","10.74","India"
"432","Honda Siel Power Products","HONDAPOWER.NS","152036966","18.23","India"
"433","Voltamp Transformers","VOLTAMP.NS","150578950","36","India"
"434","Sanghi Industries","SANGHIIND.NS","150344114","0.47","India"
"435","Vesuvius India","VESUVIUS.NS","148438185","13.29","India"
"436","Happiest Minds Technologies","HAPPSTMNDS.NS","146306337","10.78","India"
"437","IIFL Wealth Management","IIFLWAM.NS","146153114","18.15","India"
"438","Tata Teleservices","TTML.NS","144426647","1.58","India"
"439","Hinduja Ventures","NXTDIGITAL.NS","144417043","4.78","India"
"440","Kingfa Science & Technology","KINGFA.NS","140119347","11.41","India"
"441","Symphony Limited","SYMPHONY.NS","138744953","11.02","India"
"442","PTC Financial Services","PFS.NS","132326033","0.18","India"
"443","EIH Limited","EIHOTEL.NS","131715088","1.59","India"
"444","Kaveri Seed","KSCL.NS","130347149","6.33","India"
"445","MEP Infrastructure","MEP.NS","129504722","0.22","India"
"446","Puravankara","PURVA.NS","127627190","1.07","India"
"447","Neuland Laboratories","NEULANDLAB.NS","127249208","15.05","India"
"448","SML Isuzu","SMLISUZU.NS","123390890","7.28","India"
"449","Apex Frozen Foods","APEX.NS","122424176","3.27","India"
"450","Ingersoll Rand India","INGERRAND.NS","121800596","18.22","India"
"451","TCNS Clothing","TCNSBRANDS.NS","119878138","6.71","India"
"452","ESAB India","ESABINDIA.NS","119385396","46.04","India"
"453","MSTC Limited","MSTCLTD.NS","117341288","3.11","India"
"454","Oriental Aromatics","OAL.NS","116327303","7.32","India"
"455","Vst Tillers Tractors","VSTTILLERS.NS","114274056","32.23","India"
"456","Navkar Corp","NAVKARCORP.NS","114210346","0.66","India"
"457","Mishra Dhatu Nigam","MIDHANI.NS","111736498","2.1","India"
"458","Kuantum Papers","KUANTUM.NS","110415025","0.92","India"
"459","Kitex Garments","KITEX.NS","105361367","2.88","India"
"460","Apollo Pipes","APOLLOPIPE.NS","104806809","5.37","India"
"461","South Indian Bank","SOUTHBANK.NS","104734456","0.1","India"
"462","Astra Microwave","ASTRAMICRO.NS","100302880","2.52","India"
"463","BLS International","BLS.NS","99846957","2.46","India"
"464","Bliss GVS Pharma","BLISSGVS.NS","98834893","0.94","India"
"465","IndiaMART","INDIAMART.NS","98714085","49.84","India"
"466","Safari Industries India","SAFARI.NS","94401095","11.92","India"
"467","Shalby","SHALBY.NS","93588515","1.3","India"
"468","Vadilal Industries","VADILALIND.NS","93293659","27.06","India"
"469","BSE","BSE.NS","93126741","7.57","India"
"470","3i Infotech","3IINFOLTD.NS","90771676","0.54","India"
"471","Astec Lifesciences","ASTEC.NS","90278828","24.02","India"
"472","Hindustan Media Ventures","HMVL.NS","89481071","0.67","India"
"473","India Motor Parts and Accessories","IMPAL.NS","86429785","9.92","India"
"474","Borosil","BORORENEW.NS","86176670","8.34","India"
"475","Future Supply Chain Solutions","FSC.NS","84322243","0.38","India"
"476","Inox Wind","INOXWIND.NS","83655860","1.03","India"
"477","Repco Home Finance","REPCOHOME.NS","82530039","1.73","India"
"478","Delta Corp","DELTACORP.NS","82272681","2.21","India"
"479","Reliance Communications","RCOM.NS","82070938","0.03","India"
"480","Kewal Kiran Clothing","KKCL.NS","81272515","3.14","India"
"481","Omaxe","OMAXE.NS","80703630","1.11","India"
"482","Olectra Greentech","OLECTRA.NS","79059209","7.7","India"
"483","Orient Paper Mills","ORIENTPPR.NS","78261720","0.31","India"
"484","Coffee Day Enterprises","COFFEEDAY.NS","77341105","0.56","India"
"485","India Nippon Electricals","INDNIPPON.NS","75771717","4.83","India"
"486","Igarashi Motors India","IGARASHI.NS","74483101","3.67","India"
"487","Unitech Group","UNITECH.NS","74183442","0.02","India"
"488","CDSL","CDSL.NS","73793902","14.08","India"
"489","Tejas Networks","TEJASNET.NS","73731558","5.89","India"
"490","Vidhi Specialty Food","VIDHIING.NS","71847770","5.13","India"
"491","Sunteck Realty","SUNTECK.NS","68598030","6.2","India"
"492","Chalet Hotels","CHALET.NS","68207810","3.97","India"
"493","Sterling Tools","STERTOOLS.NS","68088746","3.52","India"
"494","Kokuyo Camlin","KOKUYOCMLN.NS","67692544","0.7","India"
"495","Rane Brake Lining","RBL.NS","67447867","9.26","India"
"496","Nucleus Software Exports","NUCLEUS.NS","66470594","4.96","India"
"497","Nazara Technologies","NAZARA.NS","61949879","8.84","India"
"498","Anant Raj","ANANTRAJ.NS","61550844","0.68","India"
"499","MPS Limited","MPSLTD.NS","60089726","9.07","India"
"500","RPG Life Sciences","RPGLIFE.NS","58929958","7.22","India"
"501","Sasken Technologies","SASKEN.NS","58076218","9.85","India"
"502","Indian Energy Exchange","IEX.NS","57678621","2.04","India"
"503","Geojit Financial Services","GEOJITFSL.NS","57606271","0.7","India"
"504","Barbeque Nation Hospitality","BARBEQUE.NS","55048719","13.69","India"
"505","Mahindra Lifespaces","MAHLIFE.NS","52524243","5.22","India"
"506","Cantabil Retail India","CANTABIL.NS","51205154","13.26","India"
"507","Multi Commodity Exchange","MCX.NS","49056147","16.11","India"
"508","Accelya","ACCELYA.NS","46967960","11.17","India"
"509","Foseco India","FOSECOIND.NS","46508823","19.83","India"
"510","Quick Heal","QUICKHEAL.NS","45713111","2.04","India"
"511","Balaji Telefilms","BALAJITELE.NS","44994069","0.54","India"
"512","India Tourism Development Corp","ITDC.NS","38695165","3.74","India"
"513","Anup Engineering","ANUP.NS","38509590","9.25","India"
"514","Nelco","NELCO.NS","34789991","7.88","India"
"515","Zee Learn","ZEELEARN.NS","33139034","0.08","India"
"516","CARE's Ratings","CARERATING.NS","33134860","5.32","India"
"517","Hester Biosciences","HESTERBIO.NS","31461856","25.72","India"
"518","Srei Infrastructure Finance","SREINFRA.NS","30853309","0.05","India"
"519","Aptech","APTECHT.NS","30053555","2.87","India"
"520","EaseMyTrip","EASEMYTRIP.NS","28051747","4.91","India"
"521","Paisalo Digital","PAISALO.NS","27862685","10.18","India"
"522","Ashiana Housing","ASHIANA.NS","27250423","1.6","India"
"523","MapmyIndia","MAPMYINDIA.NS","26438285","17.43","India"
"524","JSW Holdings","JSWHL.NS","24991749","40.35","India"
"525","Yatra","YTRA","24295629","2.2","India"
"526","Wendt India","WENDT.NS","23714290","112.76","India"
"527","Xchanging Solution","XCHANGING.NS","23321935","0.76","India"
"528","Radio City","RADIOCITY.NS","22528715","0.29","India"
"529","Hindustan Oil Exploration Company","HINDOILEXP.NS","20833228","2.47","India"
"530","Jump Networks","JUMPNET.NS","19491459","0.12","India"
"531","SPARC","SPARC.NS","18388604","2.73","India"
"532","IDFC","IDFC.NS","13911551","0.63","India"
"533","Alembic Limited","ALEMBICLTD.NS","10405981","0.77","India"
"534","Sundaram Finance","SUNDARMHLD.NS","10072052","0.9","India"
"535","N.B.I. Industrial Finance","NBIFIN.NS","1511839","23.99","India"
